position,sku,make,model,part_name,category,oem_number,oem_status,catalog_page,image_path,landing_page
1,PGE-FET-001,Fette,1090i WiP,12MM FILL CAM - EU 1”,Lower Cam Tracks,3105598,catalog-supplied,17,/assets/images/parts/fette/pge-fet-001.png,/parts/pge-fet-001/
2,PGE-FET-002,Fette,1090i WiP,WEAR PLATE,Lower Cam Tracks,3113915,catalog-supplied,17,/assets/images/parts/fette/pge-fet-002.png,/parts/pge-fet-002/
3,PGE-FET-003,Fette,1090i WiP,12MM FILL CAM - IPT 19,Lower Cam Tracks,Needed,needed,17,/assets/images/parts/fette/pge-fet-003.png,/parts/pge-fet-003/
4,PGE-FET-004,Fette,1090i WiP,TOOTHED BELT FOR F-O-M,Product Control,3795305,catalog-supplied,17,/assets/images/parts/fette/pge-fet-004.png,/parts/pge-fet-004/
5,PGE-FET-005,Fette,1090i WiP,PUNCH SEALS LOWER “B”,Turret Hardware,3115546,catalog-supplied,17,/assets/images/parts/fette/pge-fet-005.png,/parts/pge-fet-005/
6,PGE-FET-006,Fette,1090i WiP,17 STATION TURRET ASSEMBLY*,Turrets,Needed,needed,17,/assets/images/parts/fette/pge-fet-006.png,/parts/pge-fet-006/
7,PGE-FET-007,Fette,1090i WiP,OUTER SHANK FELT 66.3x26x5,Upper Cam Tracks,3126487,catalog-supplied,17,/assets/images/parts/fette/pge-fet-007.png,/parts/pge-fet-007/
8,PGE-FET-008,Fette,1200i,BUSHING FOR SPINDLE (CAP FOR ROTOR SHAFT),Drive Components,Needed,needed,18,/assets/images/parts/fette/pge-fet-008.png,/parts/pge-fet-008/
9,PGE-FET-009,Fette,1200i,WEAR PLATE,Lower Cam Tracks,3113915,catalog-supplied,18,/assets/images/parts/fette/pge-fet-009.png,/parts/pge-fet-009/
10,PGE-FET-010,Fette,1200i,THRUST PIECE (EJECTION RAMP),Lower Cam Tracks,3113765,catalog-supplied,18,/assets/images/parts/fette/pge-fet-010.png,/parts/pge-fet-010/
11,PGE-FET-011,Fette,1200i,TIGHT PUNCH CONTROL DOSING,Lower Cam Tracks,3113816,catalog-supplied,18,/assets/images/parts/fette/pge-fet-011.png,/parts/pge-fet-011/
12,PGE-FET-012,Fette,1200i,COLLECTOR RAIL - EU 1,Lower Cam Tracks,3137335,catalog-supplied,18,/assets/images/parts/fette/pge-fet-012.png,/parts/pge-fet-012/
13,PGE-FET-013,Fette,1200i,TRANSITION CAM - MAIN COMPRESSION,Lower Cam Tracks,3113723,catalog-supplied,18,/assets/images/parts/fette/pge-fet-013.png,/parts/pge-fet-013/
14,PGE-FET-014,Fette,1200i,BASE PLATE FOR EJECTOR,Lower Cam Tracks,3113900,catalog-supplied,18,/assets/images/parts/fette/pge-fet-014.png,/parts/pge-fet-014/
